week_index,week_of_year,expected_price,p25_price,p75_price,seasonal_factor,recommended_purchase,cumulative_purchase,total_cost,cumulative_cost,opportunistic_flag
33,30,5.076624403100209,4.933417410310928,5.263170557889054,-0.03229155189280094,5000.0,165000.0,25383.122015501045,868020.2879550537,False
34,31,5.052800175353701,4.909628765117568,5.2383407796062835,-0.05216749973474267,5000.0,170000.0,25264.000876768503,893284.2888318222,False
35,32,5.019857980750069,4.882124590368544,5.209307887564141,-0.08007809018265492,5000.0,175000.0,25099.289903750345,918383.5787355725,False
36,33,4.987433507611572,4.846969237008241,5.172453260591033,-0.11190261108583426,5000.0,180000.0,24937.16753805786,943320.7462736304,False
37,34,4.966639349465049,4.819893534060877,5.143194888102319,-0.1461396452938671,5000.0,185000.0,24833.196747325244,968153.9430209557,False
38,35,4.9471510557586305,4.784338875001464,5.097937849807284,-0.18137695244231541,5000.0,190000.0,24735.755278793153,992889.6982997488,False
39,36,4.919547238746352,4.7508327022712615,5.046771562752818,-0.21865006041782184,5000.0,195000.0,24597.736193731762,1017487.4344934806,False
40,37,4.877173416745485,4.712665713735813,5.018330074980844,-0.2576737493334983,5000.0,200000.0,24385.867083727426,1041873.301577208,False
41,38,4.836525479312256,4.670625607463642,4.9698400435060375,-0.30272408451671406,5000.0,205000.0,24182.627396561278,1066055.9289737693,False
42,39,4.780155394467581,4.629126157557179,4.918348721331529,-0.3534123110512301,5000.0,210000.0,23900.776972337906,1089956.7059461072,False
43,40,4.739894282058349,4.591740291266647,4.891850973668273,-0.391493731052386,100000.0,310000.0,473989.4282058349,1563946.134151942,False
44,41,4.707856431048639,4.55561424223682,4.882551240130651,-0.41867250100211856,100000.0,410000.0,470785.6431048639,2034731.777256806,False
45,42,4.681023795901851,4.531045189435673,4.850350745444112,-0.4474687303382389,100000.0,510000.0,468102.37959018507,2502834.156846991,False
46,43,4.665218397398595,4.504830211213167,4.8348374201865205,-0.46810053861264306,100000.0,610000.0,466521.8397398595,2969355.9965868504,False
47,44,4.662588037171485,4.493117363799863,4.835653012905942,-0.47638112414969846,100000.0,710000.0,466258.8037171485,3435614.800303999,False
48,45,4.680824425841969,4.497967450669773,4.860258855232875,-0.4680495966900584,100000.0,810000.0,468082.4425841969,3903697.242888196,False
49,46,4.713312012847868,4.516471957622066,4.881768307496556,-0.44993226869106495,100000.0,910000.0,471331.2012847868,4375028.444172983,False
50,47,4.751711598130534,4.557630731169149,4.918974102846886,-0.41725290581510327,80000.0,990000.0,380136.9278504427,4755165.372023426,False
51,48,4.801642133511828,4.600600712350223,4.977719177267165,-0.3710215118512714,5000.0,995000.0,24008.21066755914,4779173.582690985,False
52,49,4.847889228375788,4.657728378152815,5.039684609563001,-0.3173001604310495,5000.0,1000000.0,24239.44614187894,4803413.028832864,False
